Name,EGFP/Emerald,EGFP/Emerald,ECFP/Cerulean,ECFP/Cerulean,mCitrine/Ypet,mCitrine/Ypet,mCherry,mCherry,tdTomato,tdTomato,DAPI,DAPI,mPlum,mPlum,mTFP1,mTFP1,NirFP,NirFP,mTagBFP,mTagBFP,mOrange2,mOrange2,mApple,mApple,mRuby,mRuby,DAPI,DAPI,MitoTracker Red CMXRos,MitoTracker Red CMXRos
Spectrum Type,Ab,Em,Ab,Em,Ab,Em,Ab,Em,Ab,Em,Ab,Em,Ab,Em,Ab,Em,Ab,Em,Ab,Em,Ab,Em,Ab,Em,Ex,Em,Ab,Em,Ab,Em
Quantum Yield,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extinction Coefficient,,"56,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,,,,,,,,,,,,,,,0.920759848,,,,,,,,0.64,,0.17,,,,,
278,,,,,,,,,,,,,,,0.898153999,,,,,,,,0.642,,0.169,,,,,
279,,,,,,,,,,,,,,,0.861616974,,,,,,,,0.643,,0.167,,,,,
280,,,,,,,,,,,,,,,0.804762452,,,,,,,,0.641,,0.165,,,,,
281,,,,,,,,,,,,,,,0.723463741,,,,,,,,0.637,,0.162,,,,,
282,,,,,,,,,,,,,,,0.64400337,,,,,,,,0.634,,0.158,,,,,
283,,,,,,,,,,,,,,,0.566821777,,,,,,,,0.626,,0.152,,,,,
284,,,,,,,,,,,,,,,0.499913828,,,,,,,,0.62,,0.148,,,,,
285,,,,,,,,,,,,,,,0.438032592,,,,,,,,0.6,,0.143,,,,,
286,,,,,,,,,,,,,,,0.384826028,,,,,,,,0.55,,0.1364,,,,,
287,,,,,,,,,,,,,,,0.334128033,,,,,,,,0.51,,0.1298,,,,,
288,,,,,,,,,,,,,,,0.28708757,,,,,,,,0.49,,0.1232,,,,,
289,,,,,,,,,,,,,,,0.239597097,,,,,,,,0.47,,0.1166,,,,,
290,,,,,,,,,,,,,,,0.202830279,,,,,,,,0.45,,0.11,,,,,
291,,,,,,,,,,,,,,,0.173368951,,,,,,,,0.418,,0.102,,,,,
292,,,,,,,,,,,,,,,0.147794948,,,,,,,,0.37,,0.094,,,,,
293,,,,,,,,,,,,,,,0.124279504,,,,,,,,0.34,,0.086,,,,,
294,,,,,,,,,,,,,,,0.10715038,,,,,,,,0.32,,0.078,,,,,
295,,,,,,,,,,,,,,,0.092309607,,,,,,,,0.29,,0.07,,,,,
296,,,,,,,,,,,,,,,0.080436989,,,,,,,,0.264,,0.0646,,,,,
297,,,,,,,,,,,,,,,0.070613355,,,,,,,,0.238,,0.055,,,,,
298,,,,,,,,,,,,,,,0.06421746,,,,,,,,0.212,,0.05,,,,,
299,,,,,,,,,,,,,,,0.059200322,,,,,,,,0.186,,0.045,,,,,
300,0.096211765,,0.261353182,,0.058568233,,0.131986349,,0.139699096,,0.6112957,,,,0.055772582,,,,,,0.129545173,,0.16,,0.043,,0.6112957,,0.1355363,0
301,0.087224858,,0.23762814,,0.052431128,,0.117542814,,0.124471545,,0.5548173,,,,0.053264013,,,,,,0.12142723,,0.15,,0.0404,,0.5548173,,0.1384766,0
302,0.080075865,,0.216116857,,0.050330738,,0.10630044,,0.110744653,,0.4950166,,,,0.05211505,,,,,,0.110753759,,0.135,,0.034,,0.4950166,,0.1401568,0
303,0.073880414,,0.195475065,,0.045815537,,0.103735377,,0.100051614,,0.4642857,,,,0.051205454,,,,,,0.103769459,,0.125,,0.032,,0.4642857,,0.141417,0
304,0.067471447,,0.176578107,,0.043594156,,0.130191018,,0.090774615,,0.4418605,,,,0.050525651,,,,,,0.100164442,,0.12,,0.031,,0.4418605,,0.1435172,0
305,0.061201631,,0.160152353,,0.038509568,,0.163269568,,0.085211692,,0.4194352,,,,0.050066065,,,,,,0.095844561,,0.11,,0.03,,0.4194352,,0.1450574,0
306,0.057892437,,0.146781975,,0.036350926,,0.160908698,,0.080957252,,0.4069767,,,,0.04960648,,,,,,0.093697211,,0.103,,0.0288,,0.4069767,,0.1470176,0
307,0.05410283,,0.135470408,,0.034020968,,0.109500533,,0.078411329,,0.4011628,,,,0.048696884,,,,,,0.095219926,,0.098,,0.0276,,0.4011628,,0.1506581,0
308,0.052830307,,0.127526488,,0.032923409,,0.067277131,,0.078201481,,0.3978405,,,,0.047327703,,,,,,0.096234075,,0.095,,0.0264,,0.3978405,,0.1538785,0
309,0.049037976,,0.118346745,,0.0295164,,0.057255283,,0.078502619,,0.3995016,,,,0.04572873,,,,,,0.098886125,,0.093,,0.025,,0.3995016,,0.1577989,0
