Name,mCitrine/Ypet,mCitrine/Ypet,mPlum,mPlum,mTFP1,mTFP1,mTagBFP,mTagBFP,tdTomato,tdTomato
Spectrum Type,Ab,Em,Ab,Em,Ab,Em,Ab,Em,Ab,Em
Quantum Yield,,,,,,,,,,
Extinction Coefficient,,,,,,,,,,
388,0.015134937,,,,0.11400586,,0.778479885,,0.012746116,
389,0.014659454,,,,0.119712376,,0.80531547,,0.011999649,
390,0.015047669,,,,0.1251891,,0.85051983,,0.011270387,
391,0.014449387,,,,0.131355202,,0.860330845,,0.010800948,
392,0.014665408,,,,0.137521304,,0.857124886,,0.010408286,
393,0.014874215,,,,0.143917198,,0.882977816,,0.010382538,
394,0.014680453,,,,0.151452481,,0.903969417,,0.010022413,
395,0.015176844,,,,0.158528178,,0.905266266,,0.009951839,
396,0.015001464,,,,0.166752839,,0.932363557,,0.010092987,
397,0.015793477,,,,0.174517914,,0.965398909,,0.010019253,
398,0.01603239,,,,0.182962793,,0.97874293,,0.010171051,
399,0.016389028,,,,0.192556634,,0.982661335,,0.010339585,
400,0.016453563,,,,0.201001513,,0.982936089,,0.010556222,
401,0.016657651,,,,0.210365562,,0.994061157,,0.011062293,
402,0.016820477,,,,0.221328584,,1,,0.011393159,
403,0.016981929,,,,0.231142644,,0.996933031,,0.011664804,
404,0.016583456,,,,0.241875874,,0.976007113,,0.012237938,
405,0.018055377,,,,0.253528274,,0.943397235,,0.012695673,
406,0.017875835,,,,0.264711515,,0.933554258,,0.013460046,
407,0.017967561,,,,0.277043718,,0.920390376,,0.01389531,
408,0.019071245,,,,0.288686544,,0.91140685,0.003959151,0.014681101,
409,0.01885406,,,,0.300559162,,0.884243778,0.004498126,0.015428505,
410,0.018134187,,,,0.313580743,,0.854577909,0.005252225,0.016186441,
411,0.018404775,,,,0.324993776,,0.819242624,0.0061069,0.01698183,
412,0.018390414,,,,0.331159878,,0.803495502,0.00716233,0.017650701,
413,0.019125876,,,,0.355134907,,0.770077488,0.008330037,0.018738099,
414,0.01844159,,,,0.368386281,,0.74537191,0.009815544,0.019568365,
415,0.018687455,,,,0.382767469,,0.714685949,0.011803735,0.020765544,
416,0.01879257,,,,0.396698646,,0.685282421,0.013888424,0.021646253,
417,0.01934639,,,,0.410629823,,0.661480768,0.016135174,0.022901835,
418,0.019989317,,,,0.425930181,,0.623835629,0.019389158,0.024073266,
419,0.019874523,,,,0.440770954,,0.593117217,0.022692219,0.025259092,
420,0.020902984,,,,0.456530898,,0.561464679,0.02758483,0.026527431,
421,0.020376097,,,,0.473200437,,0.517261693,0.032764538,0.027662229,
422,0.020643141,,,,0.489180598,,0.496020408,0.037819355,0.029000673,
423,0.021303952,,,,0.508128914,,0.466447296,0.045243522,0.03052509,
424,0.020843536,,,,0.525258038,,0.432003082,0.053467091,0.032118793,
425,0.021941549,,,,0.542616955,,0.397240789,0.0636839,0.033455599,
426,0.021656132,,,,0.563164244,,0.368590905,0.073714555,0.034953565,
427,0.022189088,,,,0.581892342,,0.346773623,0.08667267,0.036838576,
428,0.02264747,,,,0.602439632,,0.322668674,0.09908236,0.038724756,
429,0.023334706,,,,0.622307118,,0.299788636,0.118482405,0.040327589,
430,0.02394518,,,,0.641715019,,0.272923729,0.134078242,0.042237762,
431,0.024381599,,,,0.662951686,,0.249847497,0.156665396,0.044035111,
432,0.024398049,,,,0.682819172,,0.23177911,0.176191211,0.046204524,
433,0.025339061,,,,0.703596254,,0.208864324,0.203292084,0.0485571,
434,0.025502855,,,,0.721644549,,0.192063158,0.231854859,0.050502736,
435,0.026932612,,,,0.739903487,,0.172743445,0.264597594,0.052939228,
436,0.027345546,,,,0.758401792,,0.153962795,0.300024864,0.055525529,
437,0.027981168,,,,0.774161736,,0.141623311,0.335225645,0.057852591,
438,0.029232622,,,,0.790601482,,0.126681882,0.37609798,0.060955379,
439,0.030585678,,,,0.803843281,,0.114281859,0.414589558,0.063067677,
440,0.032156477,,,,0.8157159,,0.099605276,0.46645172,0.066335723,
441,0.03352159,,,,0.827598093,,0.086454559,0.511852344,0.069261082,
